Language,I; independent; ,I; subjectverb concord; ,you; independent; ,you; subjectverb concord; ,he/she; independent; ,he/she; subjectverb concord; ,we; independent; ,we; subjectverb concord; ,bushelezi; mnandi,y'all; subjectverb concord; ,they; independent; ,they; subjectverb concord; ,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark; tree; ,flower,grass,rope,skin,meat,blood,bone,fat; n.; ,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,hunger,to drink,to eat,to bite,to suck,to spit,to vomit,to blow,to breathe,to laugh,to see,to hear,to know,to think,to smell,to fear,to sleep,to live,to die,to kill,to fight,to hunt,to hit,to cut,to split,to stab,to scratch,to dig,to swim,to fly,to walk,to come,to lie; bed; ,to sit,to stand,to turn,to fall,to give,to hold,to squeeze,to rub,to wash,to wipe,to pull,to push,to throw,to tie,to sew,to count,to say,to sing,to play,to float,to flow,to freeze,to swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,to burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp; knife; ,blunt; knife; ,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name,saliva
Sukuma,onéné,na,ying'we,,weyi,,yise,,bebe,,boyi,,--,yo,aha,aho,nani,kiyi,--,--,--,--,ose,ingi,--,gehu,--,imo,ibili,idatu,ine,itaano,--,ihu,kwasama,ginu,ito,do,guhi,kushina,kukonda,nkima,nyanda,muunu,ng'wana,nke,ngoshi,mayu,baba,ndimu,shi; ndilo; guzuba,noni,mva,nda,nzoka,--,linti,ipolu,nang'ha,--,mbiyu; mbegu,idutu,nzwi,igula,bulabo,maswa,--,ikoba,nyama,mininga,iguha,nonu,igi,ipembe,nkila,--,luywili,ntwe,gutu,liso,lyulu,nomo,lino,lulimi,njala,gugulu,gugulu; saluta,izwi,nkono,--,ng'humbi,--,nhingo,ngongo,mbele,ng'holo,itima,,kung'wa,--,kuluma,kuBipa; kong'ha,kuswa mate,kuluka,kufula,kwifula,kusega,kubona,kwigwa,kumana,kwiganika,kunung'ha,boba,gulala tulo,--,kucha,kubulaga,kwikenya,kuhiga,kukomanga,kusunzula; kupunza; kugihya,kubulaga; kubinza; kubela,--,kushina,kusimba,--,ngi; gulala,kuyela,kwiza; koya,gusagalala; gulala,kwigasha,gwimila,kukundika; kwiyungula; gugaluka,--,kwinha,--,gushema; kukama; squeeze out; ,kukilisha,koja; koga; gukanza; goga,kupyagula,kugwesa; kuduta,kushindika,kugwisha; kuguma,gutunga; kutunga; tie up; ,kusuma; kufuma,kubala,kuwila,kwimba,--,--,--,--,--,limi,ng'weji,sonda,minzi,mbula,mongo,nyanza,--,munhu,iwe,--,lububu,si,ilunde,--,--,nyaga,--,--,lyochi,moto,--,kubaka,--,lugulu,--,--,--,ape,api,bujiku,lushigu,ng'waka,koto,mbeho,suga; kokala,pya,kulukulu,awiza,ibi,ibozu,--,gugolola,kwiyungula,giha,ito,--,lobo,njumu,--,Bihi,kule,kubulyo,gusaga; be left over; ,--,--,--,--,--,--,lina,
Luganda,nze,ndi,ggwe,,ye,,ffe,,mmwe,,bo,,ono; luno; kino; eno;ino,nti; oyo; ekyo,wano,eyo; awo,ani,ki,wa,ddi; nga,ate,si,onna,ngi,--,--,lala,emu,bbiri,ssatu,nnya,ttaano,nene,adde; azze; wanvu,gazi,adde; gevvu,zito,tono,mpi,fundaze,kogga,omukazi,omusajja,omuntu,omwana,omukyaala,omwaami,maama,taata,ensolo,eky'enyanja,ennyonyi,embwa,enkukunyi,omusota,olusiringanyi,omuti,ekibira,akati,ekibala,ensigo,ekikoola,omulandira,olubugo,ekimuli,omuddo,omuguwa,olususu; omubiri; eddiba; animal; ,ennyama,omusaayi,eggumba,amasavu,eggi,omulere; engombe,mukira,--,enviiri,omutwe,okutu,eriiso,enyindo,akamwa,erinnyo,olulimi,--,ekigere,--,eviivi,omukono; arm; ,ekiwawatiro,olubuto,--,ensingo,omugongo,ebbeere,omutima,ekibumba,,okunywa,okulya,--,okunuuma,okuwanda,okusesema,okufuuwa,okussa omukka,okuseka,okulaba,okuwulira,okumanya,okulowooza,okuwunyiriza,okutya,okwebaka,okusula; okubeera; to be; ,okufa,okutta,okulwaana,okuyigga,--,okusalwa,okwabuluza,--,okwagula,--,okuwuga,okubuuka,okutambula,okujja,okugalamira; okulambaala,okutuula,okuyimirira,okuweta,okugwa,okuwa,okukwaata,okunyiga; okukamula,okuvumbaye; okukuutase; okukunya; okukulubuuta; okusiraze,okwoza,okusimuula,okusika; okukululadde,okusindika,okusawuka; okukanyuga; okukasuka,okukaliga; okusiba,okutunga,okubala,okugamba; okwogera; saying; ,okuyimba,okuzannya,okuseyaaseya; okubbulukuka,okukulukutase,okutiitiwazaizza,okuzimba,enjuba,omweezi,emunyeenye,amazzi,enkuba,omugga,enyanja,enyanja,ommunyu; omunnyo,ejjinja,omusenyu,nfuufu,nsi,ekire,--,eggulu,embuyaga,omuzira,omuzira,omukka,omuliro,--,okwookya,oluguudo,olusozi,kasaayi; myufu,kilagala,kyenvu,ekyeeru,nzirugavu,ekiro; ettumbi,emisana; olunaku,omwaaka,ekibuguma; buguma,ekinyogoga,kajjuvu,ekipya,kadde,rungi,bi,vundu,jama,butereevu,ulungo,songola,fufuggaza,kuliradde,bisi,kalu,tuufu,okumpi,ewala,ddyo,kkono,ku; mu,mu,ne,ne; na,ssenga,kubanga,erinnya,
Yao,nne,ndi,waawo,,veleo; mwaanjawo,,uwe,,nmwe; mmwe,,vanyawo; vanyao; vaanganya,,peleepa; kweleeku; iyi; ciici aci; ciici; awu wuteendewu; awu; apa; alu; aku,apo; acila; aco; adila; adyo; ajila; ajo; ajula; akala; ako,peleepa; peepano; papapapepa; panopano; kunokuno; apano; apa; apa; akuno; aku,peleepo; peepala; palapala; kulakula; apo; apala; akula; akula; ako,vaani; vaa; ani,cicii; chichi; api,kuweesi,nkuti; caaka ci,wudi; ati udi,ngati,wose; koose,yejinji; jiinji,--,noondi; nnoono; naandi,--,mo; chinpepe,vidi; ivili,tatu; itatu,cece; ncece; mcheche,saano; nsaano; nsano,wukulu; kula,uleu; leewu,telekula,kweeva; gagaatala; kaandapala; kwimbala; fat; thick; ,sito,unondi; noondi; nnoono; naandi,wiipi; jiipi,penupenu; tona; vijikana,lipuuta; sololoka; pwa,vammasyeto; vakongwe,vakuunganya,wumuundu,mwanache; mwaanace,vankwao,valume; vaalume,amao; maama,atati; ntaati; baaba; veese,chijama; cinyama,somba; soomba,chijuni; cijuni,nanbwa; nbwa,njipi; njipi,lijoka; diijoka,dinyoongolosi,chitela; cikoloongwe,lipuluulu; wukweeti; nsitu,ntindiso; mpuuto,isogosi; cisogosi,mbeju; nbeju; nbeeca,lisamba; lisaamba; disaamba,mchiga; nciga,likuungwa,liua; diluuva,manyasi; manyasi,lukoonji,lipende; likova,nyama,miasi; myaasi,liupa; diiwupa,mauta; mawuta,lindanda; dindaanda; dijeele,livengwa; nseengo,mchila; ncila,dinyuunya,umbo; luwuumbo; lunyiidi,ntwe; ntwe,liwiwi; dipiikanilo,liso; diiso,mbula; lupula,kang'wa,liino; diino,lulimi; ludimi,lukoose; lukalaveesa,cikaambato; lusajo; footprint; sole; ,lukongolo; lukoongolo,lilungo; diluungo,nkono,dipapiko,lutumbo,--,lukosi; lukosi,mngongo; n'goongo; nsaapa; cinyuma,mavele; maveele,ntima; ntima,litoga; ditooga,,kung'wa; n'wa; mwa,kulya; dya,luma,oonga; kweemba,suna,selula; tapika,puga,pumula,seka,lola; wona,pikana,manyilila,ganisya,nunjila; nunga,oga; oogopa,gono,taama,wa,wulaga,menyana; putana,lupata,tiimba; puuta; nyeesya,seenga; salula; kata,gala; cecenukula; cecenukuka; pasula; gaangula,wulutula; tota; koosa; copa; soma,mwaaga; ng'wanya; kodola,sola,suuga; n'aambila,guluka,eenda,yika,latama; gadama; kugona lugali,wutamila; tama; taama,iima,piinda,gwa,pa,pakata,pana; minya,ticita; sugula; kulukuuta,suka; saula; likunda,syula,wuta,tuta,iita,tava,tota; sona,valanga; valaanga,ti; saala; cidiwuka; tanjila; salila,imba,taamba; n'aanda; ceesa,jajavala; palasila,jidima; vidima,pimisya,yiimba,lyuuva,mwesi,ndondwa,meesi,wula,lusulo,nyaasa; litanda,bwaani,njete,liganga,nsanga,luundu,litaka,liunde,daambwe,kwiunde,nyeembeelela,--,--,osi,moto,--,ooca; kolela; coma,vaangula,litumbi,ceejewu,gulukulu; awusaamba,--,cheswela,piliu,chilo,lyuva,chaaka,kosya; oota; vaamba,sisisisi; bepo,too; coti,chanpya; amoonje,wisala; aceekulu; kalaambala,ambone,ngalumbana; ngalimate,ola,wuuka,nyoloombola; goloka,aluwulu,tema; sijidika,piisa; piinya; angatema,tidila,nyakapya,umula; juumu,luungamika,vandika; vaandika,talika,n'dyo,nciji,--,--,--,nipo; kwiisa,nambaga,pakuva,liina,
Kimbundu,eme,--,eie,,muene,,etu,,enu,,ene,,--,kiná,--,--,mukuanhi,nii,ebi,ki; kiondo,kiebi,ki,hoso,kiavulu,--,féle; kiatolo,amukuâ; hengi,moxi,iari,tatu,uana,tanu,mundundu,anda,muhenda,uajimba,aneme,ofele,buta,jola,uabele,mukaji; muhatu; mumama,riala,mutu,muana,mukaji,mulume,mama; nguri,tata,kiama,mbiji,njila,mbua,ína,nhoka; nioka,ribuka,muxi,muxitu,mbasá,ndende; rikezu,mbutu,kisaba; rifu,ndanji,kibatu,kitulu; ribemba,--,mukolo; ngoji,kiba; kikonda,xitu,manhinga,kifuba; visi,--,riiaki,ngela; xiia,mukila,kisala,ndemba,mutue,ritui,risu,rizunu,rikanu,riju,--,kiala,ki kinama ê,kinama,kipumuna,riaku,ribaba,rikebe; rimala; rivumu; tumbu,míria,xingu,rima,petu; pupa; tulu,muxima,nzundu,,kunua,kuanda,kulumata,kufefenha; kuxiba,kuta mate,kuilusa,kubusa,kubuima,kuelela,kutala; kumona,kuivua,kuijia,kubanza,kutola,kuoma,kuzeka,kuala; kukala,kufa; kufua,kujiba,kubanga; kutonga,kutomba,kubeta,kusosa; kubatula; kutála; kuzua,kutandula; kutolola,--,kubutila,kubala,kuzoua,kukisa,kuenda,kuiza; kutula,kuzendalala,kuxikama,kuta,kubiluka; kubilula; kufukula,kubala,kuba; kubana,kukuata,kubola,kuajá,kusukula,--,kunana; kusunga,kulundula,kutakula,kukasa; kujitika,kutunga,kutanga,kuamba,kuimba,kuzangata,--,--,--,kujimba,rikumbi,rieji,tetembua; nonoxi,menha,mvúla,muanza,rizanga,kalunga,mongua,ritari,kisekele; senga,fufu,ixi,rituta,múombe,riulu,kitembu,--,--,rixi,tubia,--,kuaúla; kuoha,eviokelu; kikoka,mulundu,uakusuka,uisu,--,kizela; njungu,xikelela,usuku,kizua,muvu,kiatema,mbámbi; nototo,izala; xikixiki,obe,okulu,kiauaba,ukola,kiabolo,xiri,madilu,mbumbulukutu,--,kifofo,kibombe,atalala; zobototo,tanda,--,mbanji,tá,madilu,kiasu,--,ku,ni,--,se,mbata; mukonda,jina,
Kumu,eme,--,obɛ; oɛ,o,yɛ,a,besu,,benu; bo,bo,bɔ; ba,bá,ambe; búndé; mmbe; nde; nnde; unge,ambɔ; búndɔ́; mmbɔ; ndɔ; nndɔ; ungɔ,oani,koni; ndosi,ani,sina,sua,mbenɔ nde,--,nao; no; ata,bɔbhi,kpuu; si,buambo,--,angbo,moti; imoti,babɛ; ibɛ,basaɔ; isaɔ,gena; nne,bɔku,angbo; mbota,aende; koa,gbae,tete,adoko,abhɔa,ngbi,--,nyɛbɛ,nke,moko,nkpa,miki,nka,munya,mma,abhɛ,nyama; mbau,su; isingɔ; musephe; nsami,mbu; njinji,mbɔa,bamba,njɔka,nyɔmbɔ,me,nkanda,ɛsɛndɛ; mutumbɔ; gbutu,mpua,mbuka,kasa,migi; tina,kekoba,--,ɔphɔ,ngoi; nsinɔ,nkeke;  okoa,kisuku; mabɔɛ; nyama,magia,nkua,mua,eke,ndeka; mbengu; mbɔngɔ,nkondo,--,seka,mɔ,ketue,iso,--,aphenɔkɔ,minyɔ,edaka,caa,ecinji; abho,ecinji,moanku,njaga,--,sɔphɔ,mɛla; suba,kingo,ngɔngɔ,ɛbɛ;  egogo,mema,ebae; mingi,,noa,ea,gɔta; koka,muma; unga; boea,sua,ɔka,ophia; sinda,phɛkuma,tɛbha; tɔa; tɛtɛaga,ɔna,ɔka,ubha,kanisia; ianaga,umbí; yɔka,banga,da,enda,kua,moa,mana,ta,bɛta; binda,gɔta; tena,bhoma,tusa; tɔdɛa,dua,tongea; kpua; cuma,ɔga; tena,yaa,tamba,bhika; jua,bonda,ika,mama,kendua,gua,opha,sukia,sɛdisa; kama,tia,sokosa,kɔmbɛa,ututua,tiba; tingisi; uda,maka,boa; kpakia,phopha,tanga,yɔnga,emba,njokoa,phoba,dhidha,--,bimba; dhuia,mani,songe; mpɛ á songe,sɛɛngɔa,ibo,mbua,ɔba,etuu,obenge,mɔnɛi,etae,mbume,gbɛɛkɛsɛ,nsɔdɔ,egugu,ebundu,ego,maiphianɔ,--,ibo adhɛdhɛ,maki,nsa,ebhu,sida; sumba,aphe,mamba,otana,--,--,abhu,phiphi,kipha,esa,saga,ajo,adhɛdhɛ,áotuma; kuta,andende,ngbɛga,anja,ajede,--,nkiki,--,mpɛ,aophea,--,gbɛdɛmana,dhɛka,ɔma,doni,bhibhi,danga,--,--,na,subi,n’; na,n’,ambe,ka nyɔngɔ nde,ina,
Herero,ami,--,--,,--,,--,,--,,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,imwe,mbari,ondatu,ine,ondano,--,--,--,--,--,--,--,--,--,kazendu,rumendu,ndu,--,--,--,--,--,--,--,--,--,--,--,--,omuti,--,--,--,--,--,--,--,--,--,--,--,--,ombinçu,--,--,--,--,tjira,--,ozondjise,otjiuru,okutwi,ho,--,--,--,eraka,--,ombaze,--,--,--,--,--,--,osengo,--,--,omutima,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,yuva,--,--,omeva; iva,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,omuise,--,--,--,--,--,--,--,--,--,--,--,yuva,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Oshikwanyama,ame,ohandi,ove,oto,ye,ota,fye,ohatu,nye,otamu,vo,otava,ava; aka,oyo; odo,apa; opo,apa; opo; penya,olye,oshike,openi; peni,onaini; naini,ongaipi; ngaipi,ahawe; aaye,--,--,--,shona,--,imwe,mbali,tatu; natu,nee,tano; nano,nene,le,--,--,dyu; ndjuu,shona,xupi; hupi,--,--,omukulukadi,omukulunhu; omulumenu,omunhu,okaana; ewifa,omukulukadi,omushamane,meme,tate,oshinamwenyo,oshi,okadila,ombwa,--,--,--,omuti,--,--,oiimati,--,efo,--,--,eengala,omwiidi,--,oshipa,onyama; ombelela,ohonde,omakipa,--,--,--,--,--,eexwiki,omutwe,okupti; okutwi,omesho; eisho,ellulu; eyulu,okanya,eyoo,elaka,ipato; onyala,omadi,okurou; okuulu,ongolo,oma; eke; okwooko,--,omaiaia; edimo; epunga,--,ofingo,ombuda; moipafi,omavele; onhulo ,omutima,--,ondjala,okunwa,okulya,--,--,--,kunga,--,--,yola,mona,udako,shiiva,dilaadila,--,tila,okukofa,oho kala peni; where do you live; ,okufya,--,--,konga,denga,--,--,--,--,--,--,odi,enda,uya; ila; di,nangala,kala omutumba; sit down; ,fikama,ngolyoka,--,yandya; pa; eta,--,--,--,--,--,--,--,--,otai,--,--,tya; ti,imba; okwiimba,danauka,--,--,--,--,etango,--,--,omeva; omeya,odula,omulonga,etale,--,omongwa,--,--,--,--,oilemo,--,--,omhepo,--,--,--,omundilo,--,tema; pya,opate; ondjila; path; ,ondudu,tilyana,twima; ziza,shunga,toka,laula,omafiku,efiku,odula,pyu,talala,--,pe,kulu,wa,i,--,kaka,yukilila,--,--,--,--,--,--,--,popepi,kokule,olulyo,omulosho,ko,mo,na,na,--,shaashi; osheshi,edina,
Chokwe,ami,ngu,--,,--,,--,,--,,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,káxi,kári,tátu,uana,mutânu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,mwishi,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Lunda,ami,ni,--,,--,,--,,--,,bà,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,mu,yedi,satu,ni,taanu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,wishi,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Makhuwa,mi,ki,--,,--,,--,,--,,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,èmózà,píli,tháru,xéxè,tânu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,mwiixi,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Tonga_Malawi,--,,--,,--,,--,,--,,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,mwi,bili,tatu,ne,sanu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,usi,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,kabotu,--,--,--,--,--,--,--,--,--,--,--,--,--,lulyo,chimwenhi,--,--,--,--,--,--,--,
Tsonga,--,,u,,--,,--,,--,,--,,--,--,--,--,--,--,kwihi,--,--,--,--,--,--,--,--,n'we,mbirhi,nharhu,mune,ntlhanu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,ya; going; ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,musi,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,lela,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Umbundu,--,,--,,--,,--,,--,,--,,--,--,--,--,--,--,--,--,--,sio,--,cambuaka; caliava,--,--,ukuavo,mosi,vali,tatu,kwãla,tãlo,cinene,--,catanda,caliyinda; capama,--,--,cambuta; citito; catona,--,cahongua; cahoma,ukãi,ulume,--,omõla,ukãi,ulume,--,--,--,--,--,--,--,ombuta; onyõha,--,--,cahukuka; adj; ,--,ocima; epako,--,--,--,--,capulüla; adj; ,--,--,--,--,osonde,ekepa,--,esala; aseko,--,--,--,esinga,utue,--,--,--,--,--,elaka; elimi,olunjala; apapio,--,--,ongolo,--,--,--,esiaka; ovala,--,--,--,--,--,,--,oku timbula; oku lia,oku cakita; oku kanya,--,--,--,oku fela; oku pepela,oku fuimma,--,oku tala; oku mõla,oku yevelela; oku yeva,--,--,oku neha; oku leha; oku lehisa,--,--,--,oku fa,--,--,--,oku veta; oku sova; oku tuna,--,--,--,--,oku fëla; oku sokotola,oku yua; oku litasa; oku liteva,--,--,--,--,--,--,--,--,oku avela; oku eca,--,--,--,oku yua,--,--,--,--,--,--,--,--,oku imba; oku sivaya,--,--,--,oku kakula kuombambi,--,--,--,--,--,--,--,--,--,--,--,--,--,--,alende; ombundu; ukindikindi,--,--,--,--,--,--,--,--,--,--,--,--,--,ungolo; ungundumba,cayela; cotue; civala liyela,cowi; catekava,uteke,--,--,--,--,--,cokaliye; candopo,--,--,--,--,--,--,--,calepikiwa; capelekiwa,--,mbambe,--,--,--,--,kakuci; kupãla,--,--,--,--,--,--,--,--,--,
